Event ID,Order Hash,Offerer Address,Recipient Address,Zone Address,Timestamp,Tx Hash,date,hour,Orders Per Day,Tx Count,Trade Type
0x8ffc8b138d91eb55b691023a3fece8c3c10b042cb8725536a2d2ca9342fb2d8c4b000000,0x73bfa9b0cbec83094ced0c01a58aa8d1b901255a411bcba321f5bd2198f6400e,0xbc9279b7c04d9f46b1e779a92c02c48115e0f363,0xcf0aef17a0c510688c2b4283007a81e31576cbf9,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,2022-07-03 15:06:02,0x8ffc8b138d91eb55b691023a3fece8c3c10b042cb8725536a2d2ca9342fb2d8c,2022-07-03,15,1000,1,Individual Trade
0xe28b207f061f7f984b7e3a224e43e5876bb9e2af8c37d1cd52e2bdc417be8b3372000000,0x77d64caeae63b7ee9b8da9a6f5b6715ef7f1d5d90b9244e37f8168cfe9746cef,0x1d9dfbcad361194399beecb4f1462c9be28d1959,0xee87c01ab82eb11627f856d122d66a2265ff2fc5,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,2022-07-03 15:06:02,0xe28b207f061f7f984b7e3a224e43e5876bb9e2af8c37d1cd52e2bdc417be8b33,2022-07-03,15,1000,1,Individual Trade
0xdcce27057c274d08bb5f47e7471e69bb4bfe7ba67b969814324ff1095d9b897966000000,0x1dfad16f09c81e8987c0617f772686840498e1e3a8146b548bbb09e3b59f4e77,0x1e925ad47b49df65981a28f5c95e1612f9b8c241,0x0adc9c42fd617c3c15d8d4c7e5e9416d8cd32134,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,2022-07-03 15:06:02,0xdcce27057c274d08bb5f47e7471e69bb4bfe7ba67b969814324ff1095d9b8979,2022-07-03,15,1000,1,Individual Trade
0xd7d91cab1004a7c4bd5c40d4fd9efb3631829840c64f5a35ae52838d3b3ec2ff7f000000,0x20c9e50343c8a7857761d09d3ea49c929156e83dc08aa2600d879925e1b2e205,0x6884634e4fe1653f617fffab00c33724e89d3d27,0xc01a16b70f77f078b7b8c7e5bd4eb8eec60f0382,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,2022-07-03 15:06:02,0xd7d91cab1004a7c4bd5c40d4fd9efb3631829840c64f5a35ae52838d3b3ec2ff,2022-07-03,15,1000,1,Individual Trade
0xd767cf8e0c56cefeec590285e9cae33473596308fa56d65ad76d69a1269fe567cf000000,0x5c9901aaf812707f6a407b2910107446c729bea03b2191e8a70c47fbbfe9f899,0xe8579eaf99ecb619bbe6d374fdc59491998b013a,0x0f33c3461edc00bcd0b7698f32e21a64b5e13e3c,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,2022-07-03 15:06:02,0xd767cf8e0c56cefeec590285e9cae33473596308fa56d65ad76d69a1269fe567,2022-07-03,15,1000,1,Individual Trade
0xcc578463acda5f5af829a0d32425f1162c96235e87d6fe401c9a1eb6b96e001bba000000,0x00da5865fe3c65a0a296d5a0af6c021acb8355648faa703d47d13780f5756571,0x9f0bdfec1f5865c01d9658d709c168c81d411b19,0x2ade5d07a66034285ba4867f4542d1a3078284e6,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,2022-07-03 15:06:02,0xcc578463acda5f5af829a0d32425f1162c96235e87d6fe401c9a1eb6b96e001b,2022-07-03,15,1000,1,Individual Trade
0x93df6ae5083c8e1f70c45d91906293aed46a5c4c7fdf1516257d10e5ba7789ecea000000,0xf240d93321fecb60a315511e8053b3a641c4b7de23770cd26610b36759f6090c,0x58ab73f76ce43b6ad7babfb786a0f177550023aa,0xa026ff7d20aa886f8d628ba85a3e0b186c45e3eb,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,2022-07-03 15:06:02,0x93df6ae5083c8e1f70c45d91906293aed46a5c4c7fdf1516257d10e5ba7789ec,2022-07-03,15,1000,1,Individual Trade
0xbcd0bf924b2fd0a1efabf0161178c541b8d3f79d2c7ee8c31f16c00e6e107fde7c000000,0x7405bf9fa7c3543c7d0bef49a153ecba1dd92ae8697664f275dc7155869763f5,0x4e6cfa3dc92b4cb6a2b303031c179a16c769bef5,0xc92f4fd768c3cf9340e9cc7e36043532b41d9274,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,2022-07-03 15:06:02,0xbcd0bf924b2fd0a1efabf0161178c541b8d3f79d2c7ee8c31f16c00e6e107fde,2022-07-03,15,1000,1,Individual Trade
0x9c7572f605e97ec46ceda053083d4115d2e446074d9e27ae5da086348b578d08d8000000,0x79ee1883e650d7eaf16bfa876b435755633a61fa9c24e697c1ea5a91dcdeaccb,0x881a09baded232e773c4fc06c6cac13b1f763df9,0x027dfe8d059164b342963060908536da0107fed0,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,2022-07-03 15:06:02,0x9c7572f605e97ec46ceda053083d4115d2e446074d9e27ae5da086348b578d08,2022-07-03,15,1000,1,Individual Trade
0xcbcf3ed3176b829c60693956487b44b485ec86fb424e9d6b458f6a4cc9f72a47dd000000,0xb47133a2b935c4f39c13c5c57d81e2357244ed115bfe0aea1e3adb0a9f94f440,0x8a42f0ab1dcbb65ca290d2b11bd3d88563569070,0x3363ec9a6a3653d94d098b7e76d22c0460570528,0x004c00500000ad104d7dbd00e3ae0a5c00560c00,2022-07-03 15:06:02,0xcbcf3ed3176b829c60693956487b44b485ec86fb424e9d6b458f6a4cc9f72a47,2022-07-03,15,1000,1,Individual Trade
